S.F.	S.D.	S.S.	H.L.	C.A.	C.W.	Ed.	G.E.	I.D.	G.Go.	A.Q.	B.	R.W.R.	C.	R.E.	G.Ga.	O.F.	G.S.	GDP	Em.	P.D.
UZB	8.9	8.7	10	6.5583580613	3.97	3.795485446	7.15	6.9	5.5989836657	2.3770397998	3.058961244	1.1288727084	1	7.5752407642	1	6.441	1	1	2.163773162	9.8019867331	9.8530635486
VIE	8.9	9.5	7.6	7.3908355795	3.098	7.273204238	6.577157	6.732	6.1262639418	3.9156506251	4.382219145	2.2869893903	9.0741	6.8106265784	2.8830890683	8.4994	1	9.0227110502	2.1951371321	6.3679977359	8.4509123962
YEM	7	5.5	5.3	5.7938252224	3.467	4.478	5.466797	4.873	5.4335086907	2.5559630407	2.802521329	1	1	8.1768291788	1	9.0999	1	1.3041838785	1.5910679345	2.3223626587	7.9603670464
ZAM	5.6	6.1	4.8	3.5642135642	5.117	4.17066313	5.9	6.3	1	4.284397594	1	10	9.8346	7.5227488601	9.2190930642	9.8501	1	3.3697390097	1.1662650673	2.4659696394	9.2663885424
ALB	10	9.5	9.4	7.3751633987	10	8.247194106	6.793583	6.748	6.9073433064	4.6670384253	5.754084545	4.2094214547	9.5592	6.3323419299	4.1566585215	8.825	1	6.5666710854	4.2835789485	3.1663676938	4.8620755295
ALG	10	8.3	9.5	7.0572483841	10	5.825302633	7.81	5.991	6.0049557881	3.2628856133	6.171767829	3.1181234658	4.735	6.5585091328	1	7.2209	1	9.4709842641	4.1149824401	3.682106817	9.8329362052
ANG	5.9	5.1	5.8	4.3033063428	4.87	5.183941548	6.540276	6.624	1	2.9674458826	7.22250373	6.029615256	9.95673	7.3453783293	5.8419912543	9.129	1	1	3.4808834923	1	8.9971274686
ARG	10	9.7	9	7.8928095872	10	8.426534672	9.36	7.236	1.3893612176	4.4624232867	6.171862934	2.6270359082	9.601	3.5286006415	1	5.7875	5.244839164	8.5305658109	7.1657414349	4.891921118	7.7425856886
AZE	8.9	8	8.2	6.5846484935	6.321	4.428190108	6.492258	6.577	7.0468808972	3.360328358	2.80471388	3.5747351114	6.525	6.6348032417	1	7.2737	1.0611451132	7.5444241993	5.2037342977	5.4618365245	9.8252295522
BIH	10	9.9	9.5	7.878	5.516	9.346765208	7.604005	7	5.7120906385	4.2340056772	1	1	9.9096	4.7503256647	1.3630728762	4.7058	1	5	4.4408437255	1	8.1808687245
BLR	10	10	9.3	7.0294396961	10	4.42729642	9.04	7.1	8.7809543092	3.0581454592	3.90876278	3.6106290646	9.2521	3.300884319	1	3.1163	1	9.0689585545	6.6075466915	9.4176453358	6.7630394126
BOT	7.5	9.6	6.2	4.9744081894	5.593	4.29023784	6.984209	6.832	1	6.3201119585	1.747969788	10	9.8415	3.6366335126	2.1545718663	7.7074	1	9.1646650281	6.8440032076	4.7236655274	9.6227756915
BRA	9.4	9.8	7.9	7.4368932039	6.915	8.543286723	8.75	6.679	1	5.2884702915	4.607537213	10	9.92947	1.8230218616	4.3884164144	8.0115	1.5697596138	7.8093624153	5.7126459513	5.5046054313	3.2837462955
BUL	9	10	10	7.7725813847	10	8.108544346	7.986536	6.987	5.9727083089	5.4043899724	3.182	4.4262416671	7.127	3.7315819827	1	4.189	1.895604418	8.5746917717	6.2396151407	2.8791211548	9.6299546095
CHN	9	9.1	6.4	7.7424242424	1.97	6.79616424	6.95806	6.866	4.1895154925	3.8422837367	1.815755564	8.0215509591	8.049	6.7162227693	1.1592275478	4.5678	1	9.5638076176	4.5386320454	6.7032004604	9.2776143465
COL	9.1	9.2	7.7	7.7271062271	6.467	5.457954382	8.482216	6.714	1	4.3485627232	6.109781361	10	9.94067	5.4224990505	2.105759463	8.6896	1	7.0865112088	5.2198114179	3.3864598815	8.7326676991
CRC	10	9.7	9.5	8.2104483926	6.486	4.771754227	7.41	7.266	1.480803866	6.2219270638	6.017674778	8.8212011688	9.7616	4.6845736308	5.2435412114	8.5971	1.4303868378	8.4819010685	5.7609157958	4.3648555371	9.0054867421
