S.F.	S.D.	S.S.	H.L.	C.A.	C.W.	Ed.	G.E.	I.D.	G.Go.	A.Q.	B.	R.W.R.	C.	R.E.	G.Ga.	O.F.	G.S.	GDP	Em.	P.D.	S.F.	S.D.	S.S.	H.L.	C.A.	C.W.	Ed.	G.E.	I.D.	G.Go.	A.Q.	B.	R.W.R.	C.	R.E.	G.Ga.	O.F.	G.S.	GDP	Em.	P.D.	S.F.	S.D.	S.S.	H.L.	C.A.	C.W.	Ed.	G.E.	I.D.	G.Go.	A.Q.	B.	R.W.R.	C.	R.E.	G.Ga.	O.F.	G.S.	GDP	Em.	P.D.	S.F.	S.D.	S.S.	H.L.	C.A.	C.W.	Ed.	G.E.	I.D.	G.Go.	A.Q.	B.	R.W.R.	C.	R.E.	G.Ga.	O.F.	G.S.	GDP	Em.	P.D.
MTN	9	5.6	4.2	4.0833333333	4.572099135	4.581468373	4.66752	5.8347438038	4.7236655274	4.52	6.368	1	8.598	1	8.6935861435	9.863	1	1	1.2637033048	1	1	9	6	2.4	4.3095238095	4.575082134	4.581468373	4.825519	6.1167058529	4.7236655274	3.9266666667	6.368	1	8.598	1	8.628000613	9.8588	1	5.74976296	1.4160201384	1	1	9.3	4.9	2.6	3.4166666667	4.572208355	4.581468373	4.649934	6.1524478007	4.7998520427	3.2578237256	6.368	1	8.598	1.2607618442	8.6028993918	9.8541	1	5.74976296	1.4249798986	1	1	9.2	5	2.6	5.2257971014	4.572	4.581468373	5.014971	6.164	4.9164419746	3.1875235555	6.368	1	8.598	1.4460992131	8.581210524	9.8573	1	5.74976296	1.5144450593	1	1
NCA	7.3	8.1	6.6	6.9	5.369212587	4.234161968	7.01	6.5661128825	3.328710837	4.4766666667	4.259129708	10	9.93454	5.1796171704	5.8760709843	9.2574	2.140286249	8.1258360644	1.7386314739	5.7355582859	1	7.3	7.9	4.8	7.2035310734	5.419058059	4.234161968	7.01	6.7471113447	3.328710837	3.9033333333	4.259129708	10	9.93454	5.2770713806	6.0469735568	9.2284	2.890926764	8.2597256722	1.9117932897	5.5239053053	1.7566396921	8.1	8.5	5.2	7.2324387947	5.419058059	4.234161968	7.01	7.1761511357	1	3.8229084415	4.259129708	10	9.93454	5.7465223276	5.5484697853	9.2641	2.9163356439	6.6631936843	1.9430597198	4.4228535751	1.4405315582	8.1	8.5	5.2	7.4212454212	5.419	4.234161968	7.01	7.245	1	3.6563080293	4.259129708	10	9.93454	5.9130260916	5.5283547587	9.2291	1.506954961	7.4528893645	2.1099897471	4.5707855961	2.3177760618
NGR	9.1	6	3.8	3.5833333333	2.626584146	4.48243818	5.497149	6.1042780505	1.3002871088	2.55	6.256130157	6.295	9.6398	5.8394105521	7.9209926127	9.605	1	9.335441589	1.281074008	3.0422126407	9.7845610558	9.1	4.7	3	3.6278612303	2.741244388	4.48243818	5.584845	6.339499966	2.644772613	2.7866666667	6.256130157	6.295	9.6398	5.6301112488	8.0689194052	9.6492	1	9.335441589	1.4383030763	2.8083162178	9.7899691571	9.4	5.8	3.2	3.7762875536	2.961167442	4.48243818	5.584845	6.0551806838	3.1036694127	2.9161124777	6.256130157	6.295	9.6398	5.414313924	8.1539849596	9.6706	1	9.335441589	1.5730490878	1.3945685622	9.5979456385	9.4	5.8	3.1	3.7926666667	2.961	4.48243818	5.584845	6.011	3.072787386	2.6519213909	6.256130157	6.2934770897	9.6398	5.7015590162	8.436755709	9.7103	1	9.335441589	1.7512847647	1	9.6027769724
PAK	8	9	5.4	5.55	1.879359736	6.256461774	3.94251	5.4335861453	7.3344695622	2.85	4.116545709	4.905	3.006	8.4150397368	3.8404107239	9.2574	1	8.7140528145	1.5458869736	4.6347631296	5.1878346284	7.6	9	5.8	5.8153825996	1.809180904	6.256461774	3.974842	5.5488877325	8.1873075308	2.8566666667	4.116545709	4.905	3.006	8.2982930959	3.7548588274	9.2118	1	8.6877630677	1.7541975406	5.8713529511	4.7113820463	7.4	9	4.5	5.955057652	1.876487696	6.256461774	4.287393	5.464952715	7.9494116013	2.8280549001	4.116545709	4.905	2.565	8.2740117515	3.7004213305	9.2028	1	7.6722531889	1.7912809366	5.7926223138	4.2745060467	7.5	9.2	4.8	5.9043927649	1.876	6.256461774	4.37	5.583	7.710515858	2.7419468114	4.116545709	4.9051005451	2.565	8.2799399632	3.7316172129	9.2244	1	8.4490001349	1.8723628369	5.5156256587	4.5825852078
PAR	8.6	8.3	7.8	6.9833333333	5.50092144	5.175934445	7.245785	6.5558821139	1	3.4633333333	6.228247566	2.72	9.98542	1	10	9.417	1	8.6186034026	2.5275711124	5.5989836657	9.1794996964	8.5	7.7	7	7.1290489642	5.530404923	5.175934445	7.22	6.3793743567	1	3.6	6.228247566	2.72	9.98542	1.3101609961	10	9.3862	1	8.4775577327	2.8113615211	5.7120906385	9.5626193275	8.9	8.6	7	7.1436205273	5.530404923	5.175934445	7.088111	6.8038391746	1	3.6097126562	6.228247566	2.72	9.98542	1	10	9.3966	1	7.8804368381	2.8350418755	5.2729242404	9.6936450931	9	8.6	7.1	7.3928405393	5.53	5.175934445	7.05	6.818	1	3.6795077409	6.228247566	2.722428644	9.98542	1.63125093	10	9.2729	1	8.9810877732	3.2537835063	5.7120906385	9.7335308403
PHL	7.8	8.5	7.3	6.55	5.529793896	8.932109005	7.91796	7.5157257326	3.0119421191	4.0766666667	3.906065632	2.515	8.353	6.978522921	4.2293721846	9.1735	1	9.0466996746	2.028705866	3.2142212133	6.5010242065	8.2	9.3	7.8	6.7468231389	5.544074741	8.932109005	7.73815	7.5676392271	3.328710837	3.9766666667	3.906065632	2.515	8.353	7	4.3947327341	9.2557	1	8.9542576863	2.2765846636	4.8070572233	7.7474815671	8.5	9.1	7.6	6.7608819346	5.544074741	8.932109005	7.875002	7.6544988811	3.819368493	4.0326676476	3.906065632	2.515	8.297	6.7276459372	4.2471531825	9.219	1	8.9803006667	2.3663700645	4.735489465	7.9998853843	8.7	9.2	7.4	7.0609636185	5.544	8.932109005	7.875002	7.685	3.8289288598	3.8724646321	3.906065632	2.5169965797	8.297	6.7242433444	3.9800087986	9.1804	1.5409457776	9.1041119675	2.5806209381	4.9534539107	8.198047697
PNG	6.7	3.9	4.5	5.3166666667	5.076171123	3.955781063	3.7	7	1.4514819848	3.59	5.9619667	1	9.99661	4.2063302032	3.3178908108	9.6452	1	5	1.2658809185	8.3527021141	7.3129431961	6.9	4	4.5	5.3929453263	5.076171123	3.955781063	3.7	7	1.4514819848	3.7366666667	5.9619667	1	9.9951	2.9505924743	3.3222686298	9.6442	1	5	1.3871734763	8.1873075308	8.0236602376	6.9	4	4.5	5.9879188713	5.076171123	3.955781063	3.7	7.1	1.8220340994	3.6935631207	5.9619667	1	9.9951	3.7289452069	3.4487712912	9.628	1	5	1.5261449438	8.2695913394	9.0402875777	6.9	4	4.5	6.121805329	5.076	3.955781063	3.7	7.1	1.8268352405	3.6195550576	5.9619667	1	9.9951	3.8566668845	3.6730452701	9.5737	1	5	1.7243286726	8.2695913394	9.4365135678
SEN	7.6	7.2	5.2	4.6666666667	2.775591519	8.364733727	4.1189	6.4265486203	4.3604928632	4.5566666667	4.860003105	10	9.4276	5.7251878798	4.353146803	9.5722	1	8.820036927	1.1379269896	3.6787944117	9.4067513814	8	7.7	2.8	4.8614718615	2.717656897	8.364733727	4.333701	6.4265486203	4.5840601131	4.4033333333	4.860003105	10	9.4276	5.7261265127	4.4982611906	9.6017	1	8.6683156803	1.225092143	1	9.3268707383	8.3	6.9	5.1	3.8874458874	2.764601698	8.364733727	4.760651	6.4138562062	4.7048086043	4.5000960561	4.860003105	10	9.4276	6.6513090159	4.6080077429	9.5688	1	8.2597522462	1.2698729497	1	8.6359575099	8.1	7.2	5.2	5.2545977011	2.765	8.364733727	4.972387	6.573	4.7711391552	4.1401227021	4.860003105	10	9.4276	5.5998919934	4.697447544	9.5597	1	8.884119671	1.327551718	1	8.1821874747
SRI	7.8	7.8	9.1	6.9333333333	5.219856358	9.168457173	5.900371	7.1990834967	6.9767632607	4.5466666667	3.645663879	7.475	7.536	6.7615048908	5.47051451	9.3238	1	9.2543991968	2.302824498	4.6301306831	1	7.8	8.2	8.6	7.1653483992	5.179612417	9.168457173	6.089959	7.3705758624	5.1685133449	4.06	3.645663879	7.475	7.547	7.1955360369	5.6555297035	9.4088	1.6291048584	9.2169815719	2.6859829606	5.3794443759	1.1269362542	8.1	9	9.1	7.4118644068	5.179612417	9.168457173	6.456036	7.4582326109	4.9744222386	3.9295567634	3.645663879	7.475	7.547	6.9245637712	5.6202079557	9.4035	1.9040401791	8.9482960872	2.9379951197	5.5432728473	1	8	9.1	9.2	7.2090623598	5.18	9.168457173	6.456036	7.212	5.3259180101	4.2575413468	3.645663879	7.4767713915	7.547	6.9411146377	5.6127027009	9.3603	3.4179332596	9.032503251	3.3777234936	6.1262639418	1.5674683075
SUD	7.3	6.9	3.4	4.75	3.98013003	6.521328144	3.519028	6	1.8824706564	1.96	6.705533429	2.09	4.242	4.2201977374	7.5937119395	9.7617	1	4.1742298636	1.2218760038	1.8250093184	1.1489680127	7.4	7	3.5	5.0653073286	3.912971113	6.521328144	3.884147	6	1.7204486382	1.9433333333	6.705533429	2.09	4.242	4.3215531504	7.457190251	9.7213	1	2.4295875412	1.4703705824	1.8693393749	1.9120692188	7.8	5.7	3.4	4.9936465721	3.867652061	6.521328144	3.86	6	1.7204486382	1.6772223408	6.705533429	2.09	4.242	4.6064521854	7.0473860479	9.7015	1	1.9980180769	1.5242103781	2.2550791971	2.3668937885	7.8	5.8	2.6	5.0830564784	3.868	6.521328144	3.86	6	1.7204486382	1.7386849069	6.705533429	2.0892691646	4.242	4.8605596939	7.0700837826	9.6855	1	3.0029281206	1.8374275556	3.0020190921	2.1666371728
SYR	10	7.9	7.7	6.95	7.477325759	4.496394312	6.49	6.215753564	3.0422126407	3.1766666667	2.739410373	1	1	6.8663662155	1	7.0296	1	1.092893483	2.5415292877	4.4932896412	7.3396896703	10	8.9	9.2	7.0906748746	8.053697331	4.496394312	6.56	6.1807786488	2.836540265	3.03	2.739410373	1	1.363	6.4953893656	1	6.9266	1	5.9085508586	2.7968235548	3.9851904108	8.5038118234	10	8.9	9.6	7.1047423621	8.082608988	4.496394312	6.64	5.9255606412	2.836540265	3.0804142094	2.739410373	1	1.363	7.8025436408	1	6.8067	1	6.5844153089	2.9967162083	4.4485806622	9.0876811121	10	9	9.5	7.208499336	8.083	4.496394312	6.64	5.896	6.6365025014	3.1424455657	2.739410373	1	1.363	7.5345939828	1	7.1753	1	2.5525245595	2.9537689418	4.3171052343	8.7537687766
UKR	10	9.8	9.9	6.5333333333	6.735403375	2.98318372	8.619452	6.7967655911	8.2695913394	3.6733333333	1.882185481	1.795	7.244	6.9049808719	1	3.5127	1.3624214711	8.5877373969	3.3353630585	4.8748293221	9.7000447487	10	9.7	9.3	6.5771203156	6.915015793	2.98318372	8.88169	6.8555126068	8.693582354	4.2066666667	1.882185481	1.8	7.244	6.0445044879	1	3.3684	1.4047800077	8.7439498583	3.9571067594	5.2988249742	9.5059363916	10	9.8	9.5	6.6355029586	6.915015793	2.98318372	9.115183	6.8688451533	8.8080142395	4.2101425928	1.882185481	1.8	7.244	6.4217232855	1	3.2978	1.5079973274	8.597582145	3.6822323254	4.1300317434	8.2423688599	10	9.8	9.4	6.8132942326	6.915	2.98318372	9.195026	6.861	9.0483741804	3.8833107497	1.882185481	1.8005737144	7.244	4.9561800879	1	4.1883	1.5097799266	8.1091910912	4.0729086993	4.4060786241	8.5833210792
UZB	7.4	8.9	5.7	6.5666666667	4.241086408	3.795485446	7.482677	6.8863925561	8.5214378897	2.02	3.058961244	1.13	1	8.045985211	1	5.8821	1	1	1.3771745669	9.7044553355	9.4752515089	7.5	8.8	9.6	6.670877193	3.965899	3.795485446	7.360384	6.905675936	5.4335086907	2.49	3.058961244	1.13	1	8.022528748	1	5.7827	1	2.1602498019	1.6302671876	9.8019867331	9.7595025147	8.9	8.7	10	6.7602005013	3.970180102	3.795485446	7.170505	6.9133504038	5.6708766268	2.6136911312	3.058961244	1.13	1	7.8579619234	1	5.7959	1	1.084722879	1.8809863907	9.8019867331	9.8320428715	8.9	8.7	10	6.5583580613	3.97	3.795485446	7.15	6.9	5.5989836657	2.3770397998	3.058961244	1.1288727084	1	7.5752407642	1	6.441	1	1	2.163773162	9.8019867331	9.8530635486
VIE	8.1	7.3	4.1	6.8833333333	2.869282514	7.273204238	6.476384	6.8888615323	6.1262639418	3.66	4.382219145	2.285	9.0741	7.1666666667	3.9193848224	9.0321	1	9.0867797822	1.4928351974	5.8801665891	8.722776009	8.4	9.2	6.5	7.0652739726	2.911932403	7.273204238	6.463742	6.7784530915	7.8662786107	3.88	4.382219145	2.285	9.0741	7.0419798509	3.8890833048	9.0141	1	9.0719667123	1.7683385257	6.2876355447	8.9334647989	8.9	9.4	7.5	7.0792694064	3.097970645	7.273204238	6.485279	6.7762659345	5.9972124548	3.8891215535	4.382219145	2.285	9.0741	6.8432072971	3.4618105039	8.8034	1	8.3885338236	1.9627309759	6.3128364551	8.4233575028	8.9	9.5	7.6	7.3908355795	3.098	7.273204238	6.577157	6.732	6.1262639418	3.9156506251	4.382219145	2.2869893903	9.0741	6.8106265784	2.8830890683	8.4994	1	9.0227110502	2.1951371321	6.3679977359	8.4509123962
YEM	6.4	6.9	3	4.8833333333	3.59862164	4.478	5.460472	4.5949296629	6.6365025014	2.9	2.802521329	1	1	7.8333333333	1	9.0881	1	1	1.5291074704	1.9988760645	8.1573024671	6.2	6.6	4.6	5.2103648425	3.411138355	4.478	5.466797	4.6641691577	6.6365025014	3.0566666667	2.802521329	1	1	7.9573421728	1	9.0858	1	1	1.6155277989	2.143811096	8.5902831407	6.9	6.2	5.2	5.2376174682	3.467076784	4.478	5.466797	4.6025370105	5.42227857	2.8613811521	2.802521329	1	1	7.8879914631	1	9.0675	1	1	1.6800238729	2.3223626587	8.150386097	7	5.5	5.3	5.7938252224	3.467	4.478	5.466797	4.873	5.4335086907	2.5559630407	2.802521329	1	1	8.1768291788	1	9.0999	1	1.3041838785	1.5910679345	2.3223626587	7.9603670464
ZAM	5.1	5.5	4.5	2.4833333333	5.075917586	4.17066313	5.8356656804	6.3595798536	1	3.99	1	10	9.8346	7.4417125802	9.0657474949	9.8178	1	5.5622915616	1	2.0392561951	9.0644689089	5.4	5.8	5.2	2.9581632653	5.021672717	4.17066313	5.8768109388	6.2046133545	1	4.2233333333	1	10	9.8346	7.4168763081	9.1480850287	9.831	1	4.6795462347	1	2.4659696394	9.3863309929	5.7	6	4.9	3.4033163265	5.117490529	4.17066313	5.9054538662	6.2931095336	1	4.4091089752	1	10	9.8346	7.5452393018	9.2500902657	9.8713	1	4.4669844299	1.0511238924	2.4659696394	9.2818464128	5.6	6.1	4.8	3.5642135642	5.117	4.17066313	5.9	6.3	1	4.284397594	1	10	9.8346	7.5227488601	9.2190930642	9.8501	1	3.3697390097	1.1662650673	2.4659696394	9.2663885424
ALB	9.4	9.7	8.9	6.9	10	8.247194106	6.793583	6.6072122513	8.693582354	3.9133333333	5.754084545	3.37	9.5592	6.8081380784	3.1470773002	8.6878	1	8.1371831671	3.224878934	2.3457028809	5.3851549468	9.4	9.7	9.7	6.9946279172	10	8.247194106	6.793583	6.5910917709	7.6337949434	4.4	5.754084545	4.19	9.5592	6.5402640705	3.3431302341	8.731	1	8.3748158254	3.6718297514	2.5924026065	5.7475424525	10	9.7	9.8	7.021664465	10	8.247194106	6.793583	6.72611919	6.9811251007	4.6383189441	5.754084545	4.21	9.5592	6.4437293327	2.6272036788	8.7673	1	7.9703256649	4.0458624371	2.6982005638	5.0129479524	10	9.5	9.4	7.3751633987	10	8.247194106	6.793583	6.748	6.9073433064	4.6670384253	5.754084545	4.2094214547	9.5592	6.3323419299	4.1566585215	8.825	1	6.5666710854	4.2835789485	3.1663676938	4.8620755295
ALG	10	8.7	9.2	6.7666666667	8.128570789	5.825302633	7.244014	6.0181974636	6.0049557881	3.3433333333	6.171767829	3.12	4.735	6.3787525247	1	7.5811	1	9.0843808472	3.5613247552	2.1729486998	9.2295959645	10	8.5	9.4	6.9515962441	10	5.825302633	7.244014	6.1106212539	6.0049557881	3.48	6.171767829	3.12	4.735	6.1388806233	1	7.5247	1	9.3884143235	3.787757618	2.517547197	9.8776895335	10	8.3	9.5	6.9658215962	10	5.825302633	7.244014	6.0519398485	6.0006680655	3.4532265765	6.171767829	3.12	4.735	6.5395207591	1	7.3935	1	9.3058101979	3.9351525425	3.6178686908	9.8039551332	10	8.3	9.5	7.0572483841	10	5.825302633	7.81	5.991	6.0049557881	3.2628856133	6.171767829	3.1181234658	4.735	6.5585091328	1	7.2209	1	9.4709842641	4.1149824401	3.682106817	9.8329362052
ANG	6	5	3	2.2333333333	4.479841749	5.183941548	4.9438033333	6.0389156385	1.8824706564	2.6866666667	7.22250373	6.03	9.95673	7.4945003939	7.2852172574	9.5605	1	1	2.1784856529	1	9.5030348826	6.5	5.1	5	2.4641463415	4.858796976	5.183941548	5.5215811111	6.0320649525	1.7204486382	2.9333333333	7.22250373	6.03	9.95673	7.624341048	6.941654876	9.4639	1	1	3.0304890639	1	8.9584743565	5.9	5	5.7	3.0479674797	4.869654766	5.183941548	5.81	6.7117186618	1	3.0239248163	7.22250373	6.03	9.95673	7.43262665	6.3499640114	9.2897	1	1	3.3717748752	1	8.4968972572	5.9	5.1	5.8	4.3033063428	4.87	5.183941548	6.540276	6.624	1	2.9674458826	7.22250373	6.029615256	9.95673	7.3453783293	5.8419912543	9.129	1	1	3.4808834923	1	8.9971274686
ARG	10	9.4	8.2	7.55	9.051487145	8.426534672	9.007121	6.8291896838	2.5666077695	4.2833333333	6.171862934	2.625	9.601	2.9265784949	1	6.097	3.9981607567	7.4938382819	5.4241619767	3.142708768	1.7737126977	10	9.6	9.1	7.6964782414	10	8.426534672	9.029984	7.208567583	1	4.53	6.171862934	2.625	9.601	3.9971209395	1	5.8972	4.0595619243	8.5251018129	6.1670159697	4.2848480606	4.9563218263	10	9.7	9	7.6964782414	10	8.426534672	9.177234	7.1870746437	1	4.46752949	6.171862934	2.625	9.601	3.7184483415	1	5.6753	5.2954304371	8.1618282221	6.4858466879	4.2000023844	6.9726871437	10	9.7	9	7.8928095872	10	8.426534672	9.36	7.236	1.3893612176	4.4624232867	6.171862934	2.6270359082	9.601	3.5286006415	1	5.7875	5.244839164	8.5305658109	7.1657414349	4.891921118	7.7425856886
AZE	8.5	7.7	5.5	6.2	6.553390535	4.428190108	7.285571	6.7810641016	5.9452054797	3.0033333333	2.80471388	3.55	7.096	7.0656167411	1	6.0867	1.0119549835	1.6655937998	2.7795104585	4.6649872118	9.8250539434	9.3	7.8	8	6.2999001996	6.29560623	4.428190108	7.136178	6.8559359668	5.9452054797	3.3866666667	2.80471388	3.575	6.525	6.8682414374	1	6.0683	1.0562947383	6.9205505543	4.3018596722	5.1970184856	9.8950843373	8.9	8	4.5	6.6852295409	6.320538354	4.428190108	6.589972	6.445611946	10	3.5207774078	2.80471388	3.575	6.525	6.7504894353	1	6.6312	1.0562527582	7.9905549972	4.9753476274	5.4618365245	9.79533553	8.9	8	8.2	6.5846484935	6.321	4.428190108	6.492258	6.577	7.0468808972	3.360328358	2.80471388	3.5747351114	6.525	6.6348032417	1	7.2737	1.0611451132	7.5444241993	5.2037342977	5.4618365245	9.8252295522
BIH	9.2	9.8	9.3	7.3833333333	5.515513051	9.346765208	7.06	6.8	9.1393118527	3.8366666667	1	1	9.91093	5.4762615672	1.387586626	5.8671	1	5	3.5399740877	1	9.4576251423	9.1	9.9	9.5	7.4990328385	5.515513051	9.346765208	7.24	6.9	9.1393118527	4.18	1	1	9.91093	4.9076434149	1.2969261774	5.4454	1	5	4.0610527343	1	8.9798462192	10	9.9	9.5	7.5279577148	5.515513051	9.346765208	7.423188	7	5.5304954281	4.3412968625	1	1	9.9096	5.074618328	1.0111382208	5.8353	1	5	4.2501298583	1	8.2919251033	10	9.9	9.5	7.878	5.516	9.346765208	7.604005	7	5.7120906385	4.2340056772	1	1	9.9096	4.7503256647	1.3630728762	4.7058	1	5	4.4408437255	1	8.1808687245
BLR	10	10	7.87	6.7833333333	7.514756773	4.42729642	8.840828	7.1134241615	7.8662786107	2.77	3.90876278	3.61	9.2521	5.0088364182	1	3.651	1	9.2912779006	4.6083967547	8.6070797643	9.7408127886	10	10	9.3	6.8720760234	10	4.42729642	8.934208	7.0987225302	7.8662786107	2.87	3.90876278	3.61	9.2521	4.4130531537	1	3.2007	1	9.184185503	5.449874107	9.0483741804	9.4598778617	10	10	9.3	7.1087231969	10	4.42729642	9.04	7.1	8.2787848808	3.2352094339	3.90876278	3.61	9.2521	3.9374535071	1	3.2825	1	9.230851296	5.9970663879	9.1393118527	8.1382766709	10	10	9.3	7.0294396961	10	4.42729642	9.04	7.1	8.7809543092	3.0581454592	3.90876278	3.6106290646	9.2521	3.300884319	1	3.1163	1	9.0689585545	6.6075466915	9.4176453358	6.7630394126
BOT	6.8	9.5	4.1	2.6166666667	5.586820126	4.29023784	7.148607	6.8970333153	1	6.6133333333	1.747969788	10	9.8415	3.9716192421	2.364298366	7.6371	1	9.5838484131	5.9352094219	1	9.9373979636	6.8	9.6	4.7	3.1401645207	5.593239976	4.29023784	6.984209	6.8385414185	1	6.36	1.747969788	10	9.8415	3.8331383701	2.3618849223	7.6684	1	9.5064466306	6.4361001131	4.7236655274	9.9158468385	7.5	9.5	6	3.5870529328	5.593239976	4.29023784	6.984209	6.8760868107	1	6.4435375236	1.747969788	10	9.8415	4.7060679778	2.2078500923	7.6892	1	9.4352202625	6.3901521945	4.7236655274	9.6052494245	7.5	9.6	6.2	4.9744081894	5.593	4.29023784	6.984209	6.832	1	6.3201119585	1.747969788	10	9.8415	3.6366335126	2.1545718663	7.7074	1	9.1646650281	6.8440032076	4.7236655274	9.6227756915
BRA	9.1	8.9	7.5	6.6333333333	6.693370408	8.543286723	8.778039	6.5430952126	1	4.9633333333	4.607537213	10	9.92797	1.4660414849	4.2894186296	8.2662	1	7.9893053252	4.6241388939	3.7441143225	3.189653302	9.3	9.1	7.7	6.8298591549	6.915015793	8.543286723	8.75	6.736732494	1	4.7833333333	4.607537213	10	9.92947	2.2054130717	4.3289202909	8.2566	1.5371504457	8.1478183352	5.0971352768	3.9498795825	3.8182516097	9.4	9.7	8	6.8298591549	6.915015793	8.543286723	8.75	6.6546421217	1	5.0781217914	4.607537213	10	9.92947	2.1521011309	4.4408412705	8.1108	1.5371504457	8.1162168725	5.3043804716	4.4561496812	3.4850589296	9.4	9.8	7.9	7.4368932039	6.915	8.543286723	8.75	6.679	1	5.2884702915	4.607537213	10	9.92947	1.8230218616	4.3884164144	8.0115	1.5697596138	7.8093624153	5.7126459513	5.5046054313	3.2837462955
BUL	8.9	10	10	7.4666666667	10	8.108544346	7.614418	6.8695743158	5.8274825237	5.4266666667	3.182	4.37	7.121	5.4886061994	1	4.0647	1	6.4439567463	5.1135317034	3.284403633	9.3897657587	9.2	9.9	9.9	7.5561694291	10	8.108544346	7.659418	7.0771517531	7.7880078307	5.4733333333	3.182	4.38	7.046	5.1101460269	1	3.8619	1.0579956403	2.3047633794	5.8116811787	4.4348114155	9.6802500484	9	10	10	7.6009208103	10	8.108544346	7.778666	6.9828505301	7.945336025	5.5125282347	3.182	4.425	7.127	5.6839630185	1	3.5715	1.276362847	6.759625173	5.980137566	4.3981548161	9.6409249068	9	10	10	7.7725813847	10	8.108544346	7.986536	6.987	5.9727083089	5.4043899724	3.182	4.4262416671	7.127	3.7315819827	1	4.189	1.895604418	8.5746917717	6.2396151407	2.8791211548	9.6299546095
CHN	8.9	7.7	4.4	7.35	1.894035899	6.79616424	6.71	6.5606204806	2.4907530463	3.8166666667	1.815755564	8.02	8.049	6.9033440895	1.3834273334	5.861	1.0265142595	9.5230593887	2.5961933659	6.5704681982	9.6574602477	8.8	8.8	6.5	7.4983796296	1.71589937	6.79616424	6.708764	6.8777854938	1.8086579262	3.9233333333	1.815755564	8.02	8.049	6.7598142791	1.2911696393	5.4798	1	9.5589891272	3.3181038364	6.7032004604	9.632507408	9	8.9	5.5	7.5132175926	1.969542743	6.79616424	6.815237	6.880553112	4.2386794051	4.0694316565	1.815755564	8.02	8.049	6.8138815336	1.2587226943	5.096	1	9.5395649916	3.8840047868	6.5050909472	8.8180755968	9	9.1	6.4	7.7424242424	1.97	6.79616424	6.95806	6.866	4.1895154925	3.8422837367	1.815755564	8.0215509591	8.049	6.7162227693	1.1592275478	4.5678	1	9.5638076176	4.5386320454	6.7032004604	9.2776143465
COL	8.7	9.2	8.6	7	6.368897148	5.457954382	7.652235	7.0489200763	1	3.9	6.109781361	9.66	9.94067	5.1210488695	2.4629529279	8.6646	1	7.0796604234	4.1176195759	3.0841777585	8.5590015123	8.7	9.3	7.8	7.1729428173	6.466769906	5.457954382	8.085301	6.9435676815	1	4.1533333333	6.109781361	10	9.94067	5.3404612437	2.5171169169	8.6819	1	6.8276787889	4.6544671991	3.279152789	9.0021626878	9	9.2	7.4	7.1873547187	6.466769906	5.457954382	8.327552	6.9267291129	1	4.2341122062	6.109781361	10	9.94067	5.3820464341	2.5784187105	8.6842	1	5.6235061212	4.8553545965	3.0119421191	8.6209185952	9.1	9.2	7.7	7.7271062271	6.467	5.457954382	8.482216	6.714	1	4.3485627232	6.109781361	10	9.94067	5.4224990505	2.105759463	8.6896	1	7.0865112088	5.2198114179	3.3864598815	8.7326676991
CRC	10	9.7	9.2	7.8666666667	6.483815317	4.771754227	7.482964	6.9358464403	1.2745396989	6.63	6.017674778	8.82	9.7616	4.7181400244	5.3116856816	8.6786	1	8.9507996076	4.6759017577	5.15303104	8.8345025267	10	9.8	9.6	7.9670507896	6.486233376	4.771754227	7.41	7.1107816975	1	6.1433333333	6.017674778	8.82	9.7616	4.8551271565	5.2126504017	8.6525	1	9.1078530663	5.2933685189	6.3147305901	9.3279829605	10	9.7	9.5	7.9813913786	6.486233376	4.771754227	7.41	7.1936307857	1.4050671468	6.1111144222	6.017674778	8.82	9.7616	4.3651541551	5.115073118	8.5418	1.052103951	9.0336592212	5.416962195	4.3192643266	9.0991102048	10	9.7	9.5	8.2104483926	6.486	4.771754227	7.41	7.266	1.480803866	6.2219270638	6.017674778	8.8212011688	9.7616	4.6845736308	5.2435412114	8.5971	1.4303868378	8.4819010685	5.7609157958	4.3648555371	9.0054867421
CUB	10	9.1	9.8	8.05	6.970721288	8.860013516	8.360177	7.1687972183	3.0422126407	3.0433333333	1.92620837	2.21	8.02	6.2347500494	1.9988466342	7.767	1	5	4.5066125195	8.2695913591	1.3798094371	10	9.1	9.8	8.2121977547	7.514756773	8.860013516	9.332043	7.1950781662	2.836540265	3.3133333333	1.92620837	2.21	8.02	6.1733460194	1.645193734	7.7298	1	5	4.6610550829	8.3527021539	8.5572492379	10	9.4	9.1	8.2711787565	7.796619988	8.860013516	10	7.2526148583	2.836540265	3.3919979479	1.92620837	2.21	8.02	6.4197405054	1.3826866268	7.7896	1	5	4.9572647229	8.5214378693	8.7383987116	10	9.4	9.1	8.2401021711	7.797	8.860013516	9.555305	7.394	2.836540265	3.933207455	1.92620837	2.673730435	8.02	6.3000220591	1.1683332416	7.3328	1	5	5.099264043	6.8386140921	8.7150157031
