
                    Contribuciones de las filas segun el primer cubo en el compromiso

Axis	1	2	3	4	5	6	7
"LBN"	181	194	404	0	33	52	134
"LSO"	797	79	56	0	66	0	1
"LBR"	835	5	45	35	62	4	12
"LBY"	277	684	21	0	8	0	10
"LTU"	368	290	0	93	21	226	2
"LUX"	821	117	56	3	0	1	1
"MKD"	132	26	643	26	117	1	54
"MDG"	913	5	50	25	3	0	5
"MWI"	918	0	39	36	4	2	1
"MYS"	578	173	66	18	26	107	34
"MLI"	833	18	79	2	34	15	19
"MLT"	526	153	1	181	103	3	34
"MRT"	619	2	110	5	160	58	47
"MUS"	22	238	367	49	293	22	8
"MEX"	181	38	691	25	37	15	13
"MDA"	54	19	831	35	14	44	2
"MNG"	236	272	106	346	28	0	12
"MNE"	23	363	0	0	613	0	1
"MAR"	54	94	388	214	225	0	24
"MOZ"	894	12	54	27	0	12	2
"MMR"	726	0	2	6	250	10	6
"NAM"	177	155	523	109	3	22	11
"NPL"	913	17	30	3	10	19	8
"NLD"	883	44	51	11	7	3	1
"NZL"	579	215	195	3	2	0	6
"NIC"	915	35	36	7	5	1	1
"NER"	767	122	32	41	26	5	6
"NGA"	783	1	35	44	137	0	0
"NOR"	490	157	278	1	64	1	10
"OMN"	503	369	45	11	48	12	11
"PAK"	217	718	12	11	36	6	0
"PAN"	129	155	655	25	23	13	0
"PNG"	599	22	99	12	218	43	7
"PRY"	387	165	246	99	65	25	13
"PER"	224	157	448	146	0	16	10
"PHL"	635	12	78	23	217	21	14
"POL"	809	21	3	13	65	67	22
"PRT"	339	0	2	123	158	175	202
"QAT"	511	392	80	1	16	0	0
"ROU"	157	19	271	178	191	89	95
"RUS"	686	7	8	62	205	19	12
"RWA"	906	12	33	42	4	2	1
"SAU"	460	399	29	13	9	43	47
"SEN"	745	35	88	1	130	1	1
"SRB"	407	0	111	275	105	40	62
"SLE"	858	8	46	34	41	3	10
"SGP"	748	112	56	41	39	1	3
"SVK"	724	109	0	109	57	1	0
"SVN"	807	91	4	50	17	26	5
"ZAF"	619	1	34	129	0	216	0
"ESP"	801	5	29	1	97	27	41
"LKA"	737	16	19	29	165	10	25
"SDN"	338	378	98	78	11	63	33
"SWE"	422	222	196	0	0	114	46
"CHE"	678	90	15	172	14	25	7
"SYR"	1	890	32	4	1	43	29
"TWN"	911	8	49	6	0	11	14
"TJK"	563	352	7	0	58	10	9
"TZA"	825	57	52	10	31	13	12
"THA"	4	4	459	58	55	125	295
"TGO"	900	32	19	12	21	11	5
"TTO"	660	5	0	57	5	161	112
"TUN"	14	626	237	91	1	31	0
"TUR"	16	139	391	1	452	0	0
"TKM"	448	399	27	23	37	34	33
"UGA"	794	91	69	1	40	1	4
"UKR"	468	18	23	360	112	1	18
"ARE"	521	308	132	0	6	16	17
"GBR"	765	86	21	44	32	2	51
"USA"	875	30	79	7	2	3	4
"URY"	59	121	9	201	509	98	2
"UZB"	12	20	144	645	1	64	112
"VEN"	585	156	109	39	68	43	1
"VNM"	599	1	373	0	15	9	2
"YEM"	48	819	69	9	1	43	12
"ZMB"	802	42	58	10	58	18	13
"ZWE"	806	1	55	12	124	1	1

----------------------------------------------------------------------------------------------------


                    Contribuciones de las columnas del segundo cubo en el compromiso

Axis	1	2	3	4	5	6	7
"Bd"	674	310	0	5	11	0	0
"RW"	317	659	19	4	0	0	0
"Cs"	937	51	9	4	0	0	0
"EU"	994	0	6	0	0	0	0
"ES"	647	14	273	58	6	1	1
"Gr"	999	0	1	0	0	0	0
"RE"	979	1	20	0	0	0	0

----------------------------------------------------------------------------------------------------


                    Contribuciones de las filas segun el primer cubo en todas las repeticiones

Axis	1	2	3	4	5	6	7
"ALB"	402	36	177	122	2	126	134
"DZA"	194	394	340	67	2	0	3
"AGO"	798	0	11	10	4	14	162
"ARG"	198	48	162	309	22	127	135
"ARM"	489	0	389	60	9	40	13
"AUS"	844	24	96	12	0	19	4
"AUT"	884	1	56	23	4	12	19
"AZE"	60	240	0	351	120	55	174
"BGD"	262	237	0	200	0	40	260
"BLR"	457	49	128	246	82	0	38
"BEL"	932	3	25	27	0	2	11
