
                    Contribuciones de las filas segun el primer cubo en el compromiso

Axis	1	2	3	4	5	6	7
"JOR"	8	733	65	176	11	0	8
"KAZ"	553	23	16	15	142	214	36
"KEN"	779	30	55	9	125	2	0
"PRK"	25	173	318	289	136	5	54
"KOR"	793	81	21	3	11	55	36
"KWT"	516	356	40	21	2	28	36
"KGZ"	474	116	50	41	314	0	6
"LAO"	681	81	19	5	186	17	13
"LVA"	48	454	3	439	1	2	53
"LBN"	75	84	48	92	27	307	367
"LSO"	759	70	64	6	98	0	3
"LBR"	815	7	62	46	40	11	21
"LBY"	286	678	8	3	12	12	1
"LTU"	308	192	30	325	0	35	109
"LUX"	733	123	8	32	17	32	55
"MKD"	183	32	495	20	158	2	111
"MDG"	857	0	57	57	13	3	12
"MWI"	876	0	46	61	15	1	2
"MYS"	519	112	148	35	88	64	33
"MLI"	820	13	90	14	19	19	26
"MLT"	374	138	3	426	19	38	3
"MRT"	556	5	144	7	130	90	68
"MUS"	83	284	285	5	294	37	11
"MEX"	169	50	738	8	18	13	3
"MDA"	35	8	804	24	64	2	64
"MNG"	154	261	109	178	17	94	188
"MNE"	1	251	5	18	708	0	17
"MAR"	56	119	290	290	191	2	52
"MOZ"	888	12	57	26	1	13	3
"MMR"	749	0	2	2	244	0	3
"NAM"	81	258	226	369	5	58	3
"NPL"	917	7	46	23	2	5	0
"NLD"	870	53	23	0	0	25	28
"NZL"	605	190	187	2	11	2	2
"NIC"	890	45	52	5	2	5	0
"NER"	800	82	49	3	59	1	6
"NGA"	786	1	19	32	157	0	4
"NOR"	437	134	348	11	67	3	2
"OMN"	467	447	30	9	28	18	0
"PAK"	224	692	21	21	37	2	3
"PAN"	143	66	144	146	73	209	221
"PNG"	628	34	3	2	86	149	98
"PRY"	368	157	298	37	20	68	52
"PER"	300	138	222	0	88	179	72
"PHL"	389	11	8	132	252	99	109
"POL"	774	23	3	11	97	55	37
"PRT"	668	0	13	17	243	16	43
"QAT"	452	375	25	25	38	35	49
"ROU"	203	53	302	33	406	3	1
"RUS"	704	6	8	77	173	19	13
"RWA"	866	10	40	67	15	1	2
"SAU"	457	435	32	1	1	38	36
"SEN"	642	33	113	0	202	9	0
"SRB"	292	1	214	15	210	236	33
"SLE"	835	5	53	61	25	5	15
"SGP"	641	97	6	0	84	78	93
"SVK"	802	121	1	23	23	13	16
"SVN"	754	93	4	0	2	87	60
"ZAF"	601	22	54	27	10	269	19
"ESP"	897	0	9	85	0	8	1
"LKA"	705	15	8	6	261	1	4
"SDN"	322	286	159	99	7	83	44
"SWE"	501	227	90	26	6	16	134
"CHE"	706	36	0	200	3	1	54
"SYR"	0	904	34	30	0	19	13
"TWN"	908	8	43	7	1	13	20
"TJK"	579	398	5	1	15	2	1
"TZA"	793	61	41	23	29	24	29
"THA"	0	6	508	79	81	93	233
"TGO"	878	14	42	57	8	0	1
"TTO"	596	7	2	22	2	202	169
"TUN"	75	224	605	13	62	9	11
"TUR"	1	186	301	90	185	121	117
"TKM"	425	407	16	42	37	46	26
"UGA"	714	114	93	1	58	8	11
"UKR"	467	6	86	86	222	63	71
"ARE"	562	237	109	39	41	10	2
"GBR"	833	102	25	14	11	3	13
"USA"	876	35	79	1	2	5	3
"URY"	34	84	3	3	108	488	279
"UZB"	32	48	180	704	2	10	24
"VEN"	477	172	125	56	139	25	5
"VNM"	655	15	148	103	24	16	39
"YEM"	47	731	131	76	4	2	9
"ZMB"	777	41	54	17	85	16	12
"ZWE"	508	4	76	86	223	44	58
"ALB"	566	0	348	29	35	22	0
"DZA"	3	488	266	135	68	2	38
"AGO"	867	0	0	112	20	0	1
"ARG"	176	104	264	172	260	8	16
"ARM"	46	95	508	133	118	1	99
"AUS"	834	70	47	3	46	1	0
"AUT"	759	111	44	0	0	62	23
"AZE"	33	424	475	10	13	5	38
"BGD"	511	33	299	45	100	1	11
"BLR"	582	93	75	22	97	33	98
"BEL"	890	2	91	15	1	1	0
"BEN"	842	15	50	1	13	31	47
"BTN"	161	327	10	179	127	133	63
"BOL"	40	135	361	216	168	33	47
"BIH"	29	1	379	1	564	26	0
"BWA"	84	139	211	47	34	302	182
"BRA"	285	317	13	115	129	141	1
"BGR"	538	27	22	99	227	50	37
"BFA"	879	21	77	5	7	3	8
"BDI"	891	5	46	48	4	0	6
"KHM"	454	3	38	219	58	80	149
"CMR"	729	1	57	135	4	22	52
"CAN"	775	80	70	4	71	0	0
"CAF"	771	97	73	0	53	2	5
"TCD"	789	84	90	1	14	10	13
"CHL"	82	309	13	318	156	118	2
"CHN"	49	2	403	46	183	216	101
"COL"	341	15	456	8	89	83	8
"COG"	755	50	20	17	13	61	85
"COD"	883	8	67	32	4	4	0
"CRI"	247	242	23	194	151	31	113
"CIV"	724	68	0	32	22	66	88
"HRV"	408	404	154	12	3	0	19
"CUB"	42	29	166	298	178	130	156
"CYP"	879	2	8	12	22	35	42
"CZE"	883	48	34	6	0	13	16
"DNK"	815	117	37	18	2	8	3
"DOM"	20	0	108	46	714	53	60
"ECU"	100	0	390	207	38	137	129
"EGY"	0	528	80	284	86	0	21
"SLV"	702	6	13	2	270	1	5
"EST"	825	79	16	56	4	19	1
"ETH"	829	25	104	14	27	1	0
"FIN"	760	32	71	40	31	46	20
"FRA"	691	96	42	3	80	69	18
"GAB"	196	251	181	102	3	4	264
"GMB"	889	19	43	37	9	0	2
"GEO"	364	0	496	0	53	7	80
"DEU"	867	58	23	18	7	22	5
"GHA"	447	89	9	21	199	117	120
"GRC"	789	83	1	39	24	39	24
"GTM"	824	31	0	53	3	51	39
"GIN"	827	72	71	2	16	3	8
"GNB"	821	59	85	1	1	14	19
"GUY"	679	20	3	17	55	124	101
"HTI"	757	7	2	15	131	48	39
"HND"	796	44	87	8	57	2	6
"HUN"	751	134	83	0	3	1	28
"ISL"	118	94	389	10	275	48	65
"IND"	430	251	255	4	28	6	27
"IDN"	485	29	232	147	98	9	1
"IRN"	253	512	22	56	2	100	55
"IRQ"	3	599	5	95	34	115	150
"IRL"	686	46	37	38	68	10	114
"ISR"	541	222	43	69	87	11	27
"ITA"	782	29	12	58	112	7	1
"JAM"	49	7	602	0	49	198	96
"JPN"	830	1	16	50	41	57	5
"JOR"	6	777	53	149	7	0	7
"KAZ"	640	13	1	12	156	124	55
"KEN"	789	54	34	0	106	10	7
"PRK"	31	174	393	193	197	1	11
"KOR"	830	73	38	7	7	28	17
"KWT"	547	356	63	13	1	9	12
"KGZ"	499	109	26	0	332	21	13
"LAO"	476	120	8	0	378	9	9
"LVA"	79	459	2	407	1	4	48
"LBN"	15	51	5	182	65	281	401
"LSO"	780	77	62	1	78	0	2
"LBR"	828	6	53	39	50	7	16
"LBY"	263	703	20	2	3	0	9
"LTU"	424	228	5	95	58	187	2
"LUX"	799	114	13	5	8	26	36
"MKD"	87	35	637	71	9	117	45
"MDG"	897	7	60	25	1	2	8
"MWI"	902	0	43	45	7	1	1
"MYS"	508	156	125	52	4	94	60
"MLI"	833	17	84	5	21	16	22
"MLT"	403	195	1	336	51	14	1
"MRT"	622	2	120	2	137	64	52
"MUS"	34	184	311	70	396	1	4
"MEX"	163	21	720	27	25	6	38
"MDA"	51	11	878	0	31	2	26
"MNG"	175	249	146	366	54	1	9
"MNE"	7	271	68	11	450	75	118
"MAR"	56	91	327	276	204	1	45
"MOZ"	874	9	68	43	0	6	0
"MMR"	721	0	2	0	276	0	1
"NAM"	270	100	527	53	14	1	35
"NPL"	911	5	51	27	1	5	0
"NLD"	888	43	46	10	6	5	3
"NZL"	573	181	205	6	8	7	19
"NIC"	832	54	19	18	0	50	27
"NER"	702	101	82	4	56	19	35
"NGA"	765	1	44	56	126	6	2
"NOR"	505	151	239	0	85	1	19
"OMN"	480	341	29	25	60	27	39
"PAK"	214	667	36	51	15	1	17
"PAN"	156	207	512	60	23	42	0
"PNG"	624	26	1	8	78	149	114
"PRY"	378	155	286	43	27	62	50
"PER"	376	175	273	47	24	91	14
"PHL"	492	19	11	122	164	93	100
"POL"	732	13	16	26	48	164	0
"PRT"	446	0	1	129	130	118	176
"QAT"	511	338	122	2	3	11	13
"ROU"	240	14	385	52	299	4	7
"RUS"	685	7	6	56	204	24	18
"RWA"	888	10	34	55	9	2	1
"SAU"	484	419	41	3	2	26	25
"SEN"	548	20	36	43	254	52	47
"SRB"	334	1	195	19	193	238	20
"SLE"	846	5	48	48	36	4	13
"SGP"	743	120	39	35	41	11	12
"SVK"	711	75	0	142	64	4	3
"SVN"	835	101	0	8	4	37	14
"ZAF"	600	12	61	53	9	261	4
"ESP"	904	1	24	45	17	1	8
"LKA"	744	16	7	7	217	2	8
"SDN"	280	293	155	60	2	126	83
"SWE"	477	179	177	26	12	110	19
"CHE"	764	60	4	131	0	5	35
"SYR"	0	799	82	92	17	1	10
"TWN"	912	7	46	5	2	12	16
"TJK"	587	405	0	1	5	1	0
"TZA"	818	58	59	7	42	9	8
"THA"	0	4	530	62	81	89	234
"TGO"	843	10	53	76	9	0	8
"TTO"	578	4	3	35	2	212	165
"TUN"	47	433	428	40	2	48	1
"TUR"	4	108	429	19	427	1	12
"TKM"	444	391	23	41	43	34	24
"UGA"	759	100	79	1	50	4	7
"UKR"	518	19	43	259	141	19	0
"ARE"	456	227	170	5	1	67	73
"GBR"	832	91	25	14	11	2	23
"USA"	870	36	80	1	3	6	4
"URY"	22	82	138	231	436	91	0
"UZB"	19	21	55	686	2	67	150
"VEN"	462	140	110	119	160	6	3
"VNM"	611	2	130	75	116	18	48
"YEM"	48	737	126	73	5	3	6
"ZMB"	778	43	69	19	79	8	4
"ZWE"	750	1	52	26	156	9	6
"ALB"	390	1	346	95	4	123	41
"DZA"	2	520	236	131	60	6	43
"AGO"	856	0	19	48	64	5	8
"ARG"	256	115	220	136	258	12	2
"ARM"	10	79	430	318	62	0	101
"AUS"	820	71	33	0	72	1	3
"AUT"	747	121	95	9	4	22	3
"AZE"	40	382	260	18	208	66	26
"BGD"	442	29	339	12	132	10	36
"BLR"	761	122	18	2	95	1	2
"BEL"	895	1	96	3	4	1	1
"BEN"	748	17	75	15	33	40	71
"BTN"	174	336	5	223	105	113	44
"BOL"	57	144	245	158	162	53	182
"BIH"	82	3	342	4	507	61	1
"BWA"	154	91	720	4	5	1	24
"BRA"	170	271	19	279	202	24	35
"BGR"	567	15	11	156	181	47	23
"BFA"	899	24	68	0	3	1	4
"BDI"	918	14	34	26	6	2	0
"KHM"	863	8	0	88	8	9	24
"CMR"	522	0	42	216	1	82	137
"CAN"	760	78	92	16	47	3	5
"CAF"	807	92	57	0	41	0	2
"TCD"	801	93	74	4	18	4	5
"CHL"	152	334	13	199	159	110	33
"CHN"	76	24	385	32	93	274	117
"COL"	358	22	522	0	67	29	1
"COG"	699	42	60	25	8	68	98
"COD"	898	13	57	21	0	10	0
"CRI"	242	269	15	174	190	21	90
"CIV"	812	70	17	2	93	2	3
"HRV"	467	411	63	3	5	45	6
"CUB"	56	49	378	220	135	84	78
"CYP"	785	8	0	0	74	129	3
"CZE"	883	42	62	3	8	0	2
"DNK"	772	120	67	3	0	0	38
"DOM"	54	11	452	10	421	16	36
"ECU"	185	5	663	56	0	60	32
"EGY"	0	527	83	289	70	0	30
"SLV"	721	8	0	49	161	41	20
"EST"	857	67	39	24	5	7	1
"ETH"	857	24	90	7	17	4	1
"FIN"	703	43	165	62	20	0	8
"FRA"	646	105	49	4	81	107	7
"GAB"	253	67	88	1	3	89	500
"GMB"	913	22	36	22	5	1	1
"GEO"	574	1	347	58	10	1	10
"DEU"	872	45	28	26	13	16	0
"GHA"	598	122	1	0	146	73	60
"GRC"	735	92	3	26	82	32	31
"GTM"	801	24	4	66	3	53	49
"GIN"	856	72	59	0	9	1	4
"GNB"	843	59	71	0	5	9	12
"GUY"	743	14	14	14	77	79	60
"HTI"	726	6	6	11	147	56	49
"HND"	726	27	151	4	71	0	19
"HUN"	760	158	50	2	3	26	0
"ISL"	77	186	427	51	64	62	133
"IND"	346	213	300	30	8	30	72
"IDN"	515	20	155	197	54	35	24
"IRN"	258	474	18	36	0	131	83
"IRQ"	10	845	53	24	4	32	34
"IRL"	668	31	25	65	84	3	124
"ISR"	514	235	13	137	29	69	4
"ITA"	750	11	21	10	195	0	14
"JAM"	2	0	196	317	369	14	103
"JPN"	773	0	22	101	73	29	1
"JOR"	5	898	25	51	0	14	6
"KAZ"	581	18	0	24	128	136	112
"KEN"	766	56	25	0	127	16	10
"PRK"	44	173	243	346	100	17	79
"KOR"	805	72	30	2	14	41	36
"KWT"	531	383	82	0	0	2	1
"KGZ"	243	104	328	155	37	29	102
"LAO"	512	122	17	3	342	3	2
"LVA"	101	536	1	296	20	41	4
"LBN"	79	173	252	52	2	154	289
"LSO"	810	77	51	0	62	0	0
"LBR"	847	4	40	32	64	3	9
"LBY"	237	686	30	6	1	8	33
"LTU"	407	257	3	174	12	108	39
"LUX"	777	109	75	15	2	10	13
"MKD"	143	41	690	20	33	68	4
"MDG"	924	5	46	20	3	0	3
"MWI"	926	0	33	35	3	3	0
"MYS"	486	155	66	56	9	152	75
"MLI"	849	17	72	1	34	12	15
"MLT"	465	201	3	116	142	1	72
"MRT"	682	0	93	1	149	40	34
"MUS"	29	192	272	60	439	8	0
"MEX"	191	30	653	21	59	24	22
"MDA"	33	1	623	37	0	225	81
"MNG"	163	250	146	398	41	1	2
"MNE"	59	274	77	154	121	136	178
"MAR"	56	83	374	180	284	0	23
"MOZ"	869	7	65	54	0	4	0
"MMR"	707	0	11	34	169	40	39
"NAM"	198	80	614	56	6	0	47
"NPL"	916	12	33	5	6	20	8
"NLD"	861	47	66	13	12	0	1
"NZL"	599	195	200	1	0	2	3
"NIC"	826	26	10	65	1	39	32
"NER"	660	133	81	29	32	30	36
"NGA"	782	1	48	63	101	4	1
"NOR"	414	150	119	38	137	28	113
"OMN"	476	310	29	44	77	24	40
"PAK"	212	719	15	15	34	6	0
"PAN"	300	145	472	41	25	11	6
"PNG"	699	17	10	7	102	96	69
"PRY"	406	163	231	103	65	23	10
"PER"	202	151	463	157	0	24	4
"PHL"	678	37	54	64	69	53	44
"POL"	770	27	8	56	32	106	2
"PRT"	373	0	0	135	154	161	176
"QAT"	455	276	157	12	0	44	55
"ROU"	198	14	375	37	375	0	0
"RUS"	686	9	8	44	222	17	13
"RWA"	914	12	28	39	4	4	0
"SAU"	425	392	18	21	13	62	70
"SEN"	714	43	84	1	145	11	2
"SRB"	483	2	114	203	120	42	36
"SLE"	863	4	36	38	49	1	7
"SGP"	503	110	103	212	0	35	37
"SVK"	799	167	2	13	13	5	0
"SVN"	795	75	0	10	1	83	37
"ZAF"	609	1	34	62	1	283	10
"ESP"	791	3	35	0	85	30	57
"LKA"	710	20	2	1	263	2	1
"SDN"	294	345	106	76	6	108	64
"SWE"	390	194	215	12	6	174	10
"CHE"	752	127	17	63	3	21	17
"SYR"	0	793	97	66	16	7	20
"TWN"	902	8	41	11	0	16	22
"TJK"	508	413	3	8	19	26	24
"TZA"	830	46	65	0	48	7	4
"THA"	0	1	541	8	161	87	202
"TGO"	828	38	35	25	72	2	0
"TTO"	608	9	2	12	0	200	169
"TUN"	26	600	254	86	2	32	0
"TUR"	7	110	414	19	418	11	20
"TKM"	451	357	27	39	46	33	47
"UGA"	803	90	63	1	39	1	2
"UKR"	552	5	3	269	114	11	45
"ARE"	447	312	144	17	1	34	45
"GBR"	749	78	30	42	30	3	68
"USA"	860	35	85	4	2	7	7
"URY"	14	112	37	286	497	52	1
"UZB"	25	18	179	663	4	37	75
"VEN"	579	209	116	5	11	75	5
"VNM"	598	2	228	45	81	9	37
"YEM"	52	818	91	18	0	20	2
"ZMB"	777	33	71	30	79	7	2
"ZWE"	773	1	75	28	116	3	5
"ALB"	747	15	174	9	30	22	2
"DZA"	0	606	180	120	79	0	16
"AGO"	652	0	82	0	144	44	77
"ARG"	312	143	107	75	190	135	38
"ARM"	27	151	289	36	332	153	12
"AUS"	831	77	45	0	47	0	0
"AUT"	730	116	104	13	3	27	6
"AZE"	2	143	29	133	296	214	183
"BGD"	381	26	380	4	156	10	42
"BLR"	799	86	3	44	32	13	24
"BEL"	897	3	75	23	0	0	2
"BEN"	830	12	82	0	19	20	37
"BTN"	118	315	24	506	16	16	5
"BOL"	103	109	33	0	19	22	713
"BIH"	70	1	295	1	515	104	15
"BWA"	262	34	612	40	7	33	12
"BRA"	111	256	26	344	183	4	75
"BGR"	438	0	0	12	509	1	41
"BFA"	898	22	69	1	3	2	6
"BDI"	902	20	37	23	15	2	0
"KHM"	754	17	29	17	40	59	84
"CMR"	791	2	7	106	18	31	45
"CAN"	756	78	94	16	44	5	8
"CAF"	816	83	56	0	43	0	2
"TCD"	802	90	79	3	13	6	8
"CHL"	210	354	7	117	40	178	94
"CHN"	159	59	313	16	23	313	117
"COL"	294	61	556	2	13	72	2
"COG"	817	45	48	3	62	9	17
"COD"	897	13	59	20	1	11	0
"CRI"	299	269	3	77	307	5	39
"CIV"	814	63	25	7	91	1	0
"HRV"	282	378	54	124	85	58	20
"CUB"	14	40	723	12	3	88	119
"CYP"	795	29	6	54	14	35	68
"CZE"	881	33	56	12	12	1	3
"DNK"	709	158	88	1	3	0	40
"DOM"	48	48	373	10	520	0	0
"ECU"	58	4	762	28	61	19	66
"EGY"	0	618	43	180	141	18	0
"SLV"	478	8	9	172	24	157	152
"EST"	753	70	26	65	28	30	28
"ETH"	854	33	88	1	14	7	3
"FIN"	721	25	116	102	13	21	1
"FRA"	662	103	35	5	84	93	18
"GAB"	89	146	137	15	8	58	547
"GMB"	897	35	52	9	1	1	5
"GEO"	662	1	209	119	5	4	0
"DEU"	903	6	48	12	20	8	2
"GHA"	614	176	45	120	36	6	2
"GRC"	601	66	5	2	210	0	116
"GTM"	675	35	9	59	78	43	102
"GIN"	850	72	63	1	7	2	6
"GNB"	822	62	78	0	8	14	17
"GUY"	499	70	149	155	104	0	21
"HTI"	805	6	5	86	92	5	0
"HND"	808	26	97	0	63	0	6
"HUN"	417	17	86	365	97	17	2
"ISL"	58	183	412	65	73	51	158
"IND"	253	202	336	59	0	46	105
"IDN"	383	16	329	16	225	2	30
"IRN"	355	540	3	26	0	58	19
"IRQ"	0	732	137	36	39	25	32
"IRL"	654	28	17	65	109	4	124
"ISR"	538	233	19	113	39	58	0
"ITA"	665	11	34	4	227	17	41
"JAM"	13	0	42	313	311	115	206
"JPN"	817	0	16	75	49	42	1
"JOR"	5	882	10	9	18	40	36
"KAZ"	627	38	0	118	78	102	36
"KEN"	779	71	10	2	80	30	28
"PRK"	37	143	124	427	38	67	165
"KOR"	696	57	7	8	34	95	103
"KWT"	554	280	77	6	66	10	7
"KGZ"	476	151	166	60	141	4	1
"LAO"	376	120	146	133	117	31	78
"LVA"	131	541	21	202	22	78	4
"LBN"	84	40	383	241	190	28	34
"LSO"	800	82	57	0	59	0	1
"LBR"	832	4	44	33	69	5	12
"LBY"	315	577	8	29	47	17	7
"LTU"	220	203	18	1	78	329	152
"LUX"	781	109	75	12	1	10	13
"MKD"	73	18	446	125	207	4	126
"MDG"	919	7	49	19	1	0	4
"MWI"	924	0	38	33	2	2	1
"MYS"	548	176	41	0	153	77	5
"MLI"	814	22	82	0	41	19	22
"MLT"	564	125	1	74	152	0	84
"MRT"	626	1	105	4	164	55	45
"MUS"	15	283	400	21	204	42	34
"MEX"	93	26	154	197	171	135	223
"MDA"	45	19	812	55	9	53	7
"MNG"	251	303	90	320	6	2	28
"MNE"	29	506	22	35	407	1	1
"MAR"	51	67	428	184	253	4	12
"MOZ"	896	15	54	18	0	14	3
"MMR"	598	0	59	58	108	76	101
"NAM"	135	148	565	109	2	34	7
"NPL"	887	21	14	1	7	41	30
"NLD"	890	50	35	0	1	12	12
"NZL"	514	231	185	18	14	1	37
"NIC"	873	19	24	57	0	16	11
"NER"	726	134	9	125	4	0	2
"NGA"	787	1	38	48	126	0	0
"NOR"	474	139	71	48	132	30	107
"OMN"	514	366	52	6	45	7	10
"PAK"	207	722	7	4	43	15	3
"PAN"	51	120	737	41	40	7	4
"PNG"	475	20	138	77	278	2	11
"PRY"	365	161	161	194	117	1	1
"PER"	169	112	429	208	14	3	66
"PHL"	651	17	115	13	182	14	7
"POL"	819	21	3	17	47	82	12
"PRT"	245	3	18	62	198	262	211
"QAT"	456	304	146	16	0	33	45
"ROU"	46	2	88	402	33	209	220
"RUS"	673	2	8	106	181	20	9
"RWA"	912	14	33	36	2	1	1
"SAU"	431	367	17	32	20	60	72
"SEN"	594	38	110	101	9	50	99
"SRB"	357	1	33	380	46	0	185
"SLE"	858	9	45	29	45	3	11
"SGP"	713	127	58	75	26	1	0
"SVK"	708	92	0	139	60	0	0
"SVN"	773	78	8	85	23	30	3
"ZAF"	567	0	56	105	0	266	6
"ESP"	512	10	38	23	189	114	113
"LKA"	777	14	6	20	171	2	10
"SDN"	293	353	117	48	7	108	74
"SWE"	436	230	192	1	1	88	53
"CHE"	628	101	32	159	29	49	1
"SYR"	0	839	11	2	6	74	68
"TWN"	915	8	50	6	0	9	12
"TJK"	396	271	57	49	41	77	110
"TZA"	831	53	66	3	38	6	4
"THA"	2	2	409	68	23	156	339
"TGO"	710	43	5	31	1	92	118
"TTO"	643	5	0	49	3	175	126
"TUN"	4	571	197	203	1	1	23
"TUR"	16	149	378	0	454	2	0
"TKM"	457	407	33	12	31	28	33
"UGA"	809	84	65	0	37	1	3
"UKR"	448	25	40	346	140	0	1
"ARE"	457	340	132	16	2	22	31
"GBR"	737	75	19	61	41	5	62
"USA"	868	28	79	15	1	3	6
"URY"	79	116	0	292	479	25	9
"UZB"	3	12	81	576	2	131	195
"VEN"	549	115	149	0	6	142	39
"VNM"	356	0	493	47	1	55	49
"YEM"	44	822	67	9	1	44	14
"ZMB"	795	42	75	15	60	9	5
"ZWE"	682	0	100	35	145	14	24
"ALB"	465	18	186	47	0	196	88
"DZA"	2	510	163	226	22	16	61
"AGO"	633	0	108	0	158	29	71
"ARG"	375	119	97	5	146	158	99
"ARM"	4	157	265	74	325	160	14
"AUS"	813	89	72	8	6	6	7
"AUT"	674	148	159	12	4	3	0
"AZE"	34	267	239	3	376	62	18
"BGD"	363	28	387	4	165	10	43
"BLR"	674	90	27	5	117	12	74
"BEL"	808	2	134	0	6	36	13
"BEN"	903	19	51	2	16	2	8
"BTN"	59	297	76	534	6	20	8
"BOL"	67	121	214	267	234	66	30
"BIH"	126	0	284	4	504	81	1
"BWA"	67	242	480	20	13	153	25
"BRA"	72	393	8	329	131	51	15
"BGR"	536	3	4	14	427	7	9
"BFA"	926	16	54	2	1	0	1
"BDI"	880	30	29	12	41	8	1
"KHM"	742	19	24	23	51	57	83
"CMR"	882	5	8	51	34	6	14
"CAN"	742	81	107	15	43	3	8
"CAF"	829	87	51	0	32	0	0
"TCD"	834	83	67	3	7	2	4
"CHL"	113	275	9	396	126	12	68
"CHN"	263	2	207	34	16	363	114
"COL"	341	81	490	2	6	70	10
"COG"	615	47	68	35	1	80	153
"COD"	780	14	10	8	32	83	72
"CRI"	294	256	2	11	432	4	0
"CIV"	730	66	0	35	7	63	98
"HRV"	144	268	5	100	238	150	95
"CUB"	36	72	768	2	0	48	74
"CYP"	408	50	27	215	10	22	268
"CZE"	878	33	53	15	12	3	6
"DNK"	476	236	116	0	30	56	85
"DOM"	50	50	456	0	407	11	26
"ECU"	74	4	718	24	72	34	75
"EGY"	0	635	26	133	172	30	4
"SLV"	581	10	1	132	62	115	100
"EST"	833	71	72	12	9	3	0
"ETH"	843	35	88	0	18	10	5
"FIN"	661	25	155	128	4	25	0
"FRA"	600	98	34	0	122	136	11
"GAB"	59	141	265	103	343	71	17
"GMB"	925	16	29	26	1	3	0
"GEO"	245	0	500	2	81	42	130
"DEU"	895	8	53	10	18	7	9
"GHA"	448	130	113	226	1	12	70
"GRC"	519	58	7	12	254	6	144
"GTM"	667	36	3	60	87	44	103
"GIN"	876	66	52	0	4	0	2
"GNB"	870	49	60	0	9	4	7
"GUY"	296	66	282	191	137	2	25
"HTI"	798	7	4	77	104	9	2
"HND"	863	34	65	8	26	5	0
"HUN"	318	40	27	283	79	174	79
"ISL"	54	197	557	29	42	17	103
"IND"	234	211	337	57	1	52	107
"IDN"	447	14	270	25	227	1	16
"IRN"	370	605	1	0	4	20	0
"IRQ"	2	732	113	34	46	38	35
"IRL"	518	17	15	140	80	28	202
"ISR"	548	249	41	48	75	29	11
"ITA"	511	6	52	1	283	48	99
"JAM"	16	0	29	312	301	126	215
"JPN"	760	0	21	102	62	36	19
"JOR"	11	905	19	47	2	7	9
"KAZ"	817	0	50	23	109	0	0
"KEN"	801	67	26	0	75	19	13
"PRK"	71	116	63	419	15	115	200
"KOR"	703	58	10	7	37	90	96
"KWT"	535	291	59	14	48	29	25
"KGZ"	203	107	283	205	8	60	135
"LAO"	247	101	278	131	110	34	98
"LVA"	67	565	45	243	4	77	0
"LBN"	105	75	361	119	194	96	51
"LSO"	816	83	49	0	51	1	0
"LBR"	842	3	35	30	81	2	7
"LBY"	218	738	16	3	4	0	21
"LTU"	208	184	34	4	50	373	147
"LUX"	768	107	82	15	1	11	16
"MKD"	135	7	483	129	117	4	126
"MDG"	933	6	41	15	3	0	1
"MWI"	938	0	33	25	1	4	0
"MYS"	528	167	8	18	258	18	4
"MLI"	837	19	70	0	48	11	14
"MLT"	721	32	23	81	80	38	25
"MRT"	636	1	93	6	185	44	35
"MUS"	3	231	428	67	147	71	54
"MEX"	161	38	659	36	105	0	1
"MDA"	60	28	779	66	18	43	5
"MNG"	277	247	74	356	20	26	0
"MNE"	18	156	14	79	511	78	144
"MAR"	46	80	465	211	175	1	22
"MOZ"	900	15	51	18	1	12	2
"MMR"	700	0	11	11	236	21	21
"NAM"	204	145	540	28	18	64	0
"NPL"	875	28	34	4	47	10	2
"NLD"	876	37	55	19	8	4	1
"NZL"	506	215	163	28	27	3	57
"NIC"	879	23	40	0	27	9	21
"NER"	724	141	11	53	28	27	18
"NGA"	769	2	20	23	167	5	14
"NOR"	384	133	392	37	10	37	8
"OMN"	462	342	29	25	72	30	40
"PAK"	211	715	3	1	46	18	7
"PAN"	27	85	529	142	107	23	86
"PNG"	347	5	310	43	268	0	27
"PRY"	373	162	210	145	100	8	1
"PER"	125	122	427	239	27	0	60
"PHL"	587	1	118	1	290	0	3
"POL"	824	22	0	4	68	37	44
"PRT"	139	1	8	214	49	273	317
"QAT"	406	391	19	23	52	49	59
"ROU"	92	12	54	310	15	233	284
"RUS"	670	11	9	27	249	18	16
"RWA"	926	14	28	29	0	3	0
"SAU"	428	363	19	34	24	61	72
"SEN"	652	24	106	51	17	57	92
"SRB"	264	0	12	414	17	10	284
"SLE"	872	14	43	16	47	2	7
"SGP"	756	92	74	30	48	0	0
"SVK"	612	111	1	147	76	36	18
"SVN"	647	68	32	171	58	0	24
"ZAF"	447	0	2	397	32	39	83
"ESP"	570	18	34	13	198	81	86
"LKA"	524	8	64	147	28	79	150
"SDN"	382	460	34	88	28	8	0
"SWE"	332	239	224	1	1	126	77
"CHE"	535	106	37	214	39	68	1
"SYR"	6	648	2	20	23	156	143
"TWN"	914	7	58	4	0	7	9
"TJK"	413	168	45	1	287	36	50
"TZA"	823	59	34	24	16	20	24
"THA"	11	3	368	65	17	176	360
"TGO"	832	39	1	2	10	58	58
"TTO"	692	3	4	121	15	109	55
"TUN"	3	750	103	103	11	30	1
"TUR"	32	100	321	19	500	10	17
"TKM"	456	426	40	5	25	24	24
"UGA"	833	82	56	1	28	0	1
"UKR"	446	9	4	324	105	26	85
"ARE"	485	361	119	4	9	9	13
"GBR"	729	80	11	64	45	4	66
"USA"	857	22	83	28	0	2	7
"URY"	17	133	0	223	548	77	2
"UZB"	10	14	153	598	7	85	133
"VEN"	542	118	158	11	18	121	32
